threshold,precision,recall,f1,auc,accuracy
0.0,0.22,1.0,0.36,0.96,0.22
0.05,0.48,1.0,0.65,0.96,0.76
0.1,0.53,0.99,0.69,0.96,0.8
0.15,0.56,0.97,0.71,0.96,0.83
0.2,0.6,0.94,0.73,0.96,0.84
0.25,0.64,0.9,0.75,0.96,0.87
0.3,0.67,0.86,0.75,0.96,0.88
0.35,0.7,0.86,0.77,0.96,0.89
0.4,0.73,0.82,0.77,0.96,0.89
0.45,0.77,0.8,0.78,0.96,0.9
0.5,0.8,0.75,0.77,0.96,0.9
0.55,0.82,0.72,0.76,0.96,0.9
0.6,0.84,0.64,0.73,0.96,0.89
0.65,0.87,0.59,0.7,0.96,0.89
0.7,0.89,0.48,0.63,0.96,0.87
0.75,0.92,0.41,0.57,0.96,0.86
0.8,0.94,0.32,0.48,0.96,0.84
0.85,0.93,0.26,0.4,0.96,0.83
0.9,0.94,0.15,0.26,0.96,0.81
0.95,0.9,0.04,0.08,0.96,0.79
1.0,0.0,0.0,0.0,0.96,0.78
