threshold,precision,recall,f1,auc,accuracy
0.0,0.22,1.0,0.36,0.97,0.22
0.05,0.43,1.0,0.6,0.97,0.71
0.1,0.46,1.0,0.63,0.97,0.74
0.15,0.48,1.0,0.65,0.97,0.76
0.2,0.5,1.0,0.67,0.97,0.78
0.25,0.53,1.0,0.69,0.97,0.8
0.3,0.56,0.98,0.71,0.97,0.82
0.35,0.59,0.97,0.73,0.97,0.84
0.4,0.63,0.95,0.76,0.97,0.86
0.45,0.66,0.94,0.77,0.97,0.88
0.5,0.69,0.92,0.79,0.97,0.89
0.55,0.71,0.91,0.8,0.97,0.9
0.6,0.73,0.88,0.8,0.97,0.9
0.65,0.76,0.86,0.81,0.97,0.91
0.7,0.81,0.83,0.82,0.97,0.92
0.75,0.86,0.78,0.82,0.97,0.92
0.8,0.88,0.72,0.79,0.97,0.92
0.85,0.94,0.64,0.76,0.97,0.91
0.9,0.98,0.54,0.69,0.97,0.9
0.95,0.99,0.33,0.5,0.97,0.85
1.0,0.0,0.0,0.0,0.97,0.78
